"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"01001499999","2024-01-01","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.8"," 4","  21.2"," 4","9999.9"," 0","999.9"," 0","  6.2"," 4"," 25.5"," 4"," 28.9"," 41.0","  39.2","*","  37.4","*","99.99"," ","999.9","001000"
"01001499999","2024-01-02","59.791925","5.34085","48.76","SORSTOKKEN, NO","  36.4"," 9","  15.0"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9"," 23.7"," 9"," 27.0"," 41.0","  37.4","*","  33.8","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-03","59.791925","5.34085","48.76","SORSTOKKEN, NO","  29.2"," 9","  10.6"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9","  9.0"," 9"," 14.0"," 26.0","  30.2","*","  28.4","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-04","59.791925","5.34085","48.76","SORSTOKKEN, NO","  24.5","12","   6.3","12","9999.9"," 0","999.9"," 0","  6.2","12","  7.6","12","  9.9","999.9","  26.6","*","  21.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-05","59.791925","5.34085","48.76","SORSTOKKEN, NO","  23.8","13","  12.9","13","9999.9"," 0","999.9"," 0","  6.2","13","  4.3","13","  8.9","999.9","  26.6","*","  21.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-07","59.791925","5.34085","48.76","SORSTOKKEN, NO","  28.4"," 8","  12.9"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8","  8.8"," 8"," 11.1","999.9","9999.9"," ","9999.9"," "," 0.00","I","999.9","000000"
"01001499999","2024-01-09","59.791925","5.34085","48.76","SORSTOKKEN, NO","  34.9"," 8","  33.1"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8","  9.4"," 8"," 15.0","999.9","  37.4","*","  32.0","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-10","59.791925","5.34085","48.76","SORSTOKKEN, NO","  29.7"," 8","  28.6"," 8","9999.9"," 0","999.9"," 0","  6.2"," 8","  2.6"," 8","  5.1","999.9","  30.2","*","  26.6","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-11","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.5","12","  32.4","12","9999.9"," 0","999.9"," 0","  6.2","12"," 14.3","12"," 19.0","999.9","  41.0","*","  37.4","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-12","59.791925","5.34085","48.76","SORSTOKKEN, NO","  37.2","11","  37.2","11","9999.9"," 0","999.9"," 0","  4.9","11","  4.5","11","  8.9","999.9","  39.2","*","  35.6","*","99.99"," ","999.9","010000"
"01001499999","2024-01-14","59.791925","5.34085","48.76","SORSTOKKEN, NO","  32.9"," 8","  32.5"," 8","9999.9"," 0","999.9"," 0","  5.2"," 8","  6.9"," 8"," 15.9","999.9","  35.6","*","  32.0","*","99.99"," ","999.9","011000"
"01001499999","2024-01-15","59.791925","5.34085","48.76","SORSTOKKEN, NO","  28.8","10","  26.8","10","9999.9"," 0","999.9"," 0","  4.8","10","  9.9","10"," 17.1","999.9","  30.2","*","  26.6","*","99.99"," ","999.9","011000"
"01001499999","2024-01-16","59.791925","5.34085","48.76","SORSTOKKEN, NO","  27.9","10","  27.3","10","9999.9"," 0","999.9"," 0","  2.7","10"," 10.0","10"," 17.1","999.9","  30.2","*","  26.6","*","99.99"," ","999.9","001000"
"01001499999","2024-01-17","59.791925","5.34085","48.76","SORSTOKKEN, NO","  25.4"," 9","  23.2"," 9","9999.9"," 0","999.9"," 0","  6.2"," 9","  2.9"," 9","  6.0","999.9","  28.4","*","  21.2","*"," 0.00","I","999.9","000000"
"01001499999","2024-01-18","59.791925","5.34085","48.76","SORSTOKKEN, NO","  28.7","12","  27.6","12","9999.9"," 0","999.9"," 0","  4.4","12","  8.4","12"," 15.9"," 26.0","  30.2","*","  26.6","*","99.99"," ","999.9","011000"
"01001499999","2024-01-19","59.791925","5.34085","48.76","SORSTOKKEN, NO","  32.8","16","  27.1","16","9999.9"," 0","999.9"," 0","  5.2","15","  7.7","16"," 15.9","999.9","  35.6","*","  30.2","*","99.99"," ","999.9","001000"
"01001499999","2024-01-21","59.791925","5.34085","48.76","SORSTOKKEN, NO","  38.9","11","  38.9","11","9999.9"," 0","999.9"," 0","  5.8","11"," 16.2","11"," 22.0"," 35.9","  41.0","*","  35.6","*","99.99"," ","999.9","010000"
